name,type,website,facebook_url,address,schedule_found,schedule_url,notes
Eight Lotus Center for Wellness,yoga/pilates/tai chi,https://www.8lotuswellness.com/,https://www.facebook.com/lovelightgratitude,231 Swanson Ave Ste 208-210,website,https://www.8lotuswellness.com/book-class,"UPDATE 6/4/26: full live week read via Chrome (Mindbody widget is JS-only): Hula Thu 1p (90m); Yin Thu 5:15p + Sun 3p; Heated Ashtanga Fri 5:30a + Sat 8:30a; TruFusion Pilates Mon+Fri 8:15a; Breathwork Mon 9:30a (45m); Slow Flow Mon 4:30p; Belly Dance Mon 6:15p+7:15p; Tue/Wed likely no classes; $20 walk-in/$100 mo/$150 10-class; contributions 563-564 queued at 0.65-0.70 — needs 2nd-week observation for 0.85; PLUS new TUE lineup observed 6/4/26 pm (Tue was empty in the am read): TruFusion 5:30a (not posted — dedup w/ 563), Lymphatic Bliss 8a=612, Pranayama Vinyasa 9:30a=613, Hula 1p=614 (was Thu 1p in week-1 — day moved?), Slow Flow Hip Yoga 5:15p=615, Mat Pilates 6:30p=616 (all queued 0.55-0.60); Wed still no classes; (928) 208-7477"
Havasu Pilates Studio,reformer pilates,https://havasupilates.com/,,address — research,schedule-down,,"UPDATE 6/4/26 (browser): June sessions started Jun 1-3; signup page now 'new services coming soon' + waitlist — schedule down = sold out pattern; no postable times; re-check next run; 'largest reformer studio in Mohave County'; address still needs research"
Crazy Eds Cardio & Pilates,reformer pilates,https://crazyedscardio.com/,,3293 Maricopa Ave Ste 102,schedule-down,https://crazyedscardio.com/class-signup-1,"UPDATE 6/4/26 (browser): schedule taken down — June sessions started Jun 1-3, signup shows 'new services coming soon' + waitlist; no postable times; re-check next run; beginner-style reformer for women"
Bella Faccia Movement Studio,yoga/pilates reformer,https://bellafacciaskincare.com/,,1695 Mesquite Ave #102,none-appointment,,"UPDATE 6/4/26 (browser): bellafacciaskincare.com is now SKINCARE-ONLY (no pilates/movement content); WellnessLiving stub unclaimed; entity may need re-categorizing or removal of the movement-studio angle; 928-854-7546"
Arizona Coast Performing Arts,dance studio,https://arizonacoastperformingarts.com/,https://www.facebook.com/GraceArtsLive,3476 McCulloch Blvd,website,https://graceartslive.com/dance-studio/,"DISCOVERY 6/3/26 FULL 2025-26 grid (page mod 12/9/25): Mon Ballet1&2 3:30-4:30p, Jazz1&2 4:30-5:30p, Contemporary(Int) 5:30-6:30p, HipHop(Adv) 6:30-7:30p; Tue PreBallet/PreTap 3-4p, Tap1&2 4-5p ... Pointe 8:30-9:30p; Fri Beg HipHop 3-4p; tuition $60 1st class/mo + $40 2nd + $35 addl; season began 8/11; Showcase May 15-17 2026; (928) 208-2273"
Footlite School of Dance,dance studio,https://www.footliteschoolofdance.com/,https://www.facebook.com/footliteschoolofdance,3325 Maricopa Ave (older listing 2168 McCulloch #104 — verify),website-partial,https://www.footliteschoolofdance.com/classes,"DISCOVERY 6/3/26: ages 6mo-adult, rec + competitive; open M-Th 3-7p during dance year; summer camps (Tiny Twirlers 3-5, Rising Stars 5-7, Junior/Teen 8+) + adult summer classes 'first class free'; recital 5/30-31; Studio Director portal"
Ballet Havasu,ballet school (nonprofit),https://www.ballethavasu.org/,https://www.facebook.com/ballethavasu,2735 Maricopa Ave (inside The Dance Center),website,https://www.ballethavasu.org/2025,"UPDATE 6/4/26: full 2025/26 season grid read via Chrome+zoom (schedule is an IMAGE): TinyToes Mon 3:30-4p; Ballet Beginnings Mon+Fri 4-4:45p; Elementary Tue 5-6p (B)/Wed 5:45-6:45p (A); Intermediate Tue 3:30-5p/Wed 4-5:30p/Thu 3:30-5p; Advanced Mon+Tue 6-7:30p, Thu 5-6:30p; Pointe Mon 7:30-8:30p; Adult Tue 6:30-7:30p; New Students 11+ Mon 4:30-6p; recital was 5/31/26 — may pause for summer; contributions 565-566 queued at 0.70; fall classes start Aug 4, registration Sat 7/12; (928) 412-8208"
Marsh Dance Studios,dance/line dancing,,https://www.facebook.com/p/MARSH-DANCE-STUDIOS-100063614438855,4195 Challenger Dr,stale-source-only,,"UPDATE 6/4/26: only source is a Dec-2024 newspaper article — STALE per data rules, do not ingest; FB sweep queued to confirm current grid. Article had: Mon beg/int 1-2p; Wed 8:30a-8p; every other Tue at Flying X Saloon 4-6p; Thu at Mustang Sallys 5-8p; $6/class; Alice Marsh, 53 yrs teaching; 928-855-0798"
Angie's Line Dance Class,line dancing,,https://www.facebook.com/angieslinedanceclass,unknown,no-website,,"DISCOVERY 6/3/26: FB page only, no times captured; FB sweep queued; low priority"
Sunshine Indoor Play,kids activity center,https://www.sunshineindoorplay.com/,https://www.facebook.com/p/Sunshine-Indoor-Play-100091396406656,5601 AZ-95 Unit H814,no-website,,"DISCOVERY 6/3/26: arts/music classes, dance classes, toddler programs 'regularly featured on Facebook'; hrs Tu-Th 9-5, Fri 9-7, Sat 9-2; (928) 466-6750; FB sweep queued"
Bless This Nest Studio,kids art/craft studio,https://blessthisnestlhc.com/,https://www.facebook.com/blessthisnestlhc,2886 Sweetwater Ave #B-108,website,https://blessthisnestlhc.com/pages/calendar,"DISCOVERY 6/3/26: Mini Maker Art Club 10-11:30a (dated sessions); Toddler Time; Crafty Ladies Club; Summer Camps; Open Studio drop-in; calendar page on site; 928-412-3718"
Windy Hills Pottery and Art Studio,pottery/art classes,http://windyhillsartstudio.com/,https://www.facebook.com/p/Windy-Hills-Pottery-and-Art-Studio-100030412011408,2781 Anita Ave,dead-site,,"UPDATE 6/4/26 (browser): site ERRORS OUT in a real browser — flag entity for liveness; FB sweep for current status; was: pottery classes every Tue + Thu (2-3hr), acrylic/oil/watercolor/graphite/colored pencil instruction, no clock times published; (928) 521-7895"
Lake Havasu Museum of History,museum kids workshops,https://www.havasumuseum.com/,,320 London Bridge Rd,website-partial,https://www.havasumuseum.com/,"DISCOVERY 6/3/26: free/low-cost kids craft workshops (wire wrap 3/13, stone necklace 3/7 — dated events); recurring pattern unclear — crawl events page periodically; 928-854-4938"
Havasu Art Guild,art workshops,https://www.havasuartguild.com/,,LHC (est. 1978),website,https://www.havasuartguild.com/,"UPDATE 6/4/26: contribution 583 queued at 0.65 — Maturing Masters Art Workshop every Thu 8:30-11:00a, Mohave County Senior Center, $1, members (site says '8:30 am - 11:00 pm' — assumed am typo)"
Sew What,fabric shop classes,,,LHC — research address,needs-verify,,"DISCOVERY 6/3/26 (mohavelocal): 'classes in a variety of techniques'; 928-453-4040; verify active + get schedule by phone/FB"
River City Music LLC,music store + lessons,https://rivercitymusiclhc.com/,https://www.facebook.com/rivercitymusiclhc,2164 McCulloch Blvd N Ste B,website-partial,https://rivercitymusiclhc.com/,"DISCOVERY 6/3/26: lessons 'at reasonable prices'; store M-F 10-5 Sat 10-1; lesson times by arrangement; (928) 855-0446"
Marlene Arden Voice Lessons,voice lessons,https://marlenearden.com/voice-lessons,https://www.facebook.com/marlenearden7,3376 Kiowa Blvd S (home studio),none-appointment,https://marlenearden.com/voice-lessons,"DISCOVERY 6/3/26: ages 7+, all styles, in-person/Zoom/Facetime; by appointment; (928) 706-7716"
Fabrics Unlimited,quilt shop classes,https://www.fabricsunlimited.net/,,LHC — confirm address,website,https://www.fabricsunlimited.net/classes-684.htm,"DISCOVERY 6/3/26: Featherweight Club 4th Wed 10a-3p FREE; Long Arm Quilt Club 3rd Tue 11a-1p $10; more classes on page"
Havasu Stitchers Quilt Guild,quilt guild,https://www.havasustitchers.com/,https://www.facebook.com/havasustitchers,meets at Quality Inn 271 S Lake Havasu Ave,website,https://www.havasustitchers.com/events,"UPDATE 6/4/26: contributions 581-582 queued at 0.80 — General Member Meeting 2nd Thu 6-8p Mohave College Rm 600 ($5 guests; Jul 2026 moves to Wed 7/8) + Community Outreach Sewing 3rd Wed 10a-2p Aquatic Ctr Rm 153/154; monthly (not weekly) recurrence noted"
GraceArts LIVE Youth Theatricals,youth theater,https://graceartslive.com/,https://www.facebook.com/GraceArtsLive,2146 McCulloch Blvd N,website,https://graceartslive.com/dance-studio/,"UPDATE 6/4/26: contributions 589-609 queued at 0.55 — full ACPA dance grid, 21 classes M-F (2025-26 season; showcase was May 15-17/26 so summer status UNVERIFIED; entity attach to GraceArts vs ACPA needs Casey confirm); youth productions audition-driven, dates on site; box office M-F 3-6p; (928) 505-2787"
Havasu Horseback Rides,riding lessons,https://www.havasuhorsebackrides.com/,,LHC + Yucca locations,paused-summer,https://www.havasuhorsebackrides.com/blank-1-1,"UPDATE 6/4/26: Pony/Leadline Mondays 10-5 marked 'ENDS IN APRIL FOR SUMMER' (paused now); other lessons appointment-based; summer camp Jun 1-4/8-11 7-9a nearly over — RE-CHECK IN FALL; owner Jenna Cobb"
Driftwood Acres Equine Center,riding lessons/camps,https://www.driftwoodacresequinecenter.com/,https://www.facebook.com/driftwoodacresequestrian,1807 Aztec Rd,website,https://www.driftwoodacresequinecenter.com/book-online,"UPDATE 6/4/26 (browser): live Wix calendar read — Group Riding Lessons weekdays 7:00 & 8:30a (90min, $40, conf 0.65) = contribution 610; Roping Group Tue/Thu 3:30-5p ($40, conf 0.70) = 611 (both queued 6/4/26 via resend_pending.ps1); address 1807 Aztec Rd confirmed, old Kingman location CLOSED per Yelp; Sharla Wilson"
Lake Havasu Little League,youth baseball,https://www.lakehavasulittleleague.net/,https://www.facebook.com/lakehavasulittleleague,SARA Park fields,seasonal-offseason,https://www.lakehavasulittleleague.net/,"UPDATE 6/4/26: regular season (opened Feb 28) is over — site news now All-Stars era; posted schedules live behind Team Central (per-team, JS); no postable weekly grid; REVISIT at fall ball/registration (~Oct) or next Feb; 1990 McCulloch Blvd N Ste 373"
Havasu Lions FC (Lake Havasu Soccer),youth soccer,https://www.havasulions.com/,https://www.facebook.com/havasulions,PO Box 1749 (city fields),seasonal-offseason,https://www.havasulions.com/rec-league,"UPDATE 6/4/26: OFF-SEASON — fall rec league only (practices from wk of Sep 22, Sat games Oct-Dec); REVISIT AT FALL REGISTRATION; ages 4-17, 1000+ rec players + 140 travel club"
Lake Havasu Chiefs Youth Football & Cheer,youth football/cheer,https://lakehavasuyouthfootball.sportngin.com/,https://www.facebook.com/LakeHavasuChiefs,LHC,seasonal-offseason,https://lakehavasuyouthfootball.sportngin.com/,"UPDATE 6/4/26: SportsEngine site is a JS shell to raw fetch (empty); fall sport, off-season now — browser pass at fall registration (~Aug); tackle football + cheer"
Havasu Lanes Junior Bowlers,youth bowling,https://www.havasulanesaz.com/LEAGUES/Youth-Leagues,https://www.facebook.com/LHCJuniorBowlers,2128 McCulloch Blvd N,website,https://www.havasulanesaz.com/LEAGUES/Youth-Leagues,"DISCOVERY 6/3/26: ages 4-18, after school, $10/week (3 games/day all week)"
LHC Parks & Recreation Programs,city rec umbrella,https://www.lhcaz.gov/parks-recreation/programs-activities,https://www.facebook.com/LHCAZGOV,100 Park Ave,website,https://www.lhcaz.gov/parks-recreation/programs-activities,"DISCOVERY 6/3/26 umbrella: After School Program + Camps, youth arts/STEM/fitness enrichment, NFL Flag Football (launching early 2026), Jr Suns Basketball (summer 2026 ages ~6-12), beginner golf, holiday cooking/cookie classes, Tai Chi $5/class; register lhcaz.gov/fun; aquatics already covered in Aquatic Center row; 928-453-8686; UPDATE 6/4/26: contributions 568-580 queued (9 Aquatic Ctr classes from June 2026 PDF rev 5/29/26 @ 0.85, Open Swim 0.80, Swim League 0.65 — city page season dates GARBLED, call before publishing 578, Jr Lifeguard 0.75); punch pass $80 per PDF vs $78 on web"
HavaLife CPR,CPR/first aid classes,https://havalifecpr.com/,,2150 McCulloch Blvd N Unit B (site header 6/4/26; was LHC),website-partial,https://havalifecpr.com/,"UPDATE 6/4/26: 'call to register' — no published schedule, skipped; ADDRESS captured from site header (authoritative over Yelp); others in town: lakehavasucpr.com, trupatriotcpr.com, Knowledge For Life (2051 Holly Ave, knowledgeforlifecourses.com)"
Desert Bloom Learning Center,homeschool enrichment,https://www.desertbloomlearningcenter.com/,,2170 Havasupai Blvd (site footer NOW says 1100 London Bridge Rd Ste 202 — verify),website,https://www.desertbloomlearningcenter.com/learn-more,"UPDATE 6/4/26: contributions 584-588 queued at 0.70 — Morning Homeschool Support T/W/Th 8-11a + afternoon enrichment 12:30-2:30p (Movement Lab Mon @ Altitude, Life Skills Tue, Creative Arts Wed, History Explorers Thu), ages 5-12; ADDRESS CHANGE flagged; related: Grace Learning Center (2101 Palo Verde N), Psalms Learning Center"
